gpssec acc_x(m/s^2) acc_y(m/s^2) acc_z(m/s^2) gyro_x(rad/s) gyro_y(rad/s)  gyro_z(rad/s)
72479.515833 -0.448608 0.191406 -10.018921 -0.006376 -0.000671 -0.002349
72479.525597 -0.457581 0.116638 -10.021912 -0.001342 0.000671 -0.003356
72479.535857 -0.484497 0.152527 -10.084717 -0.002013 0.000671 -0.000671
72479.545592 -0.514404 0.167480 -10.072754 -0.002181 0.002349 -0.001342
72479.555833 -0.526367 0.113647 -10.003967 -0.002349 0.002013 -0.003020
72479.566916 -0.484497 0.155518 -10.030884 -0.004698 0.002684 -0.000671
72479.579413 -0.463562 0.203369 -10.084717 -0.004027 0.001678 0.002013
72479.585844 -0.463562 0.146545 -10.069763 -0.003356 -0.000336 0.000336
72479.595827 -0.451599 0.140564 -10.045837 -0.002684 -0.002013 -0.005369
72479.605594 -0.511414 0.146545 -10.021912 -0.004362 -0.001342 -0.003020
72479.615840 -0.535339 0.152527 -10.051819 -0.003691 0.003356 -0.000671
72479.625583 -0.490479 0.215332 -10.072754 -0.002684 0.003020 -0.001342
72479.635825 -0.454590 0.212341 -10.030884 -0.003020 0.000671 -0.002013
72479.645558 -0.463562 0.125610 -10.012939 -0.002684 0.001566 -0.002684
72479.655812 -0.487488 0.104675 -10.078735 -0.002349 0.002461 -0.003020
72479.666924 -0.493469 0.137573 -10.096680 -0.000336 0.003356 -0.003691
72479.679396 -0.481506 0.167480 -10.033875 -0.001678 -0.000336 -0.000671
72479.685824 -0.448608 0.200378 -10.015930 -0.003020 -0.001007 -0.001342
72479.695810 -0.448608 0.158508 -10.033875 -0.005033 -0.000336 -0.001678
72479.705568 -0.469543 0.125610 -10.069763 -0.006376 0.001342 -0.000336
72479.715822 -0.481506 0.155518 -10.081726 -0.002349 -0.000671 -0.002013
72479.725554 -0.499451 0.143555 -10.009949 -0.002349 -0.000336 -0.001846
72479.735807 -0.502441 0.122620 -10.003967 -0.002013 0.000671 -0.001678
72479.745541 -0.493469 0.164490 -10.072754 -0.002684 -0.000336 -0.005704
72479.755817 -0.475525 0.170471 -10.057800 -0.007382 0.003356 -0.004698
72479.766904 -0.469543 0.143555 -10.000977 -0.004698 0.001342 -0.005369
72479.779401 -0.499451 0.143555 -10.036865 -0.003691 -0.003356 0.000336
72479.785831 -0.550293 0.104675 -10.069763 -0.004027 0.000671 0.001342
72479.795816 -0.529358 0.128601 -10.030884 -0.000336 0.002684 -0.005369
72479.805548 -0.457581 0.215332 -10.009949 -0.002349 0.004027 -0.004698
72479.815803 -0.448608 0.191406 -10.039856 -0.006376 -0.000503 0.000336
72479.825534 -0.469543 0.131592 -10.078735 -0.005704 -0.005033 -0.001007
72479.835787 -0.505432 0.122620 -10.060791 -0.001007 0.001342 -0.002349
72479.845547 -0.529358 0.122620 -10.027893 -0.002013 0.003691 -0.002013
72479.855799 -0.499451 0.146545 -10.042847 -0.005369 0.000671 -0.003356
72479.866886 -0.454590 0.194397 -10.048828 -0.006040 0.000503 -0.001342
72479.879388 -0.454590 0.149536 -10.009949 -0.004362 0.000336 -0.004698
72479.885812 -0.475525 0.125610 -10.051819 -0.003691 0.001007 -0.001678
72479.895798 -0.499451 0.167480 -10.087708 -0.002013 0.001678 0.000336
72479.905531 -0.514404 0.140564 -10.015930 -0.002013 -0.001007 -0.003020
72479.915783 -0.502441 0.116638 -9.997986 -0.002349 -0.000336 -0.001174
72479.925542 -0.469543 0.173462 -10.075745 -0.004698 -0.000839 0.000671
72479.935796 -0.466553 0.185425 -10.063782 -0.006040 -0.001342 -0.002684
72479.945526 -0.472534 0.155518 -10.015930 -0.002684 0.003020 -0.005033
72479.955780 -0.487488 0.128601 -10.018921 -0.001678 0.003356 -0.004027
72479.966894 -0.511414 0.107666 -10.048828 -0.004362 0.000336 -0.001342
72479.979367 -0.502441 0.167480 -10.066772 -0.005369 0.003356 -0.001342
72479.985793 -0.466553 0.221313 -10.042847 -0.004362 0.001007 -0.003020
72479.995778 -0.460571 0.167480 -10.015930 -0.002349 -0.002013 -0.004027
72480.000000 -0.464463 0.150614 -10.032796 -0.001767 -0.001286 -0.002717
72480.005510 -0.469543 0.128601 -10.054810 -0.001007 -0.000336 -0.001007
72480.015765 -0.496460 0.134583 -10.087708 -0.001678 0.001342 -0.000336
72480.025525 -0.511414 0.140564 -10.045837 -0.005704 0.001174 -0.004027
72480.035780 -0.475525 0.179443 -10.012939 -0.004027 0.001007 -0.005033
72480.045509 -0.454590 0.200378 -10.024902 -0.002013 0.002349 -0.002684
72480.055774 -0.469543 0.155518 -10.060791 -0.004362 -0.001342 -0.000336
72480.066851 -0.517395 0.161499 -10.075745 -0.002013 -0.003020 -0.000336
72480.079350 -0.550293 0.185425 -10.012939 -0.001007 -0.003020 -0.001342
72480.085778 -0.532349 0.140564 -9.968079 -0.002684 -0.003020 -0.005369
72480.095763 -0.508423 0.152527 -10.033875 -0.004362 -0.001342 -0.004362
72480.105522 -0.481506 0.191406 -10.084717 -0.004027 0.004027 -0.002013
72480.115774 -0.469543 0.152527 -10.036865 -0.005704 0.002684 -0.002684
72480.125508 -0.469543 0.128601 -10.024902 -0.003691 0.001007 -0.001678
